;set
0;train
1;train
2;train
3;train
4;train
5;train
6;train
7;test
8;train
9;train
10;train
11;train
12;test
13;train
14;train
15;train
16;train
17;test
18;test
19;train
20;train
21;test
22;test
23;test
24;test
25;test
26;test
27;test
28;test
29;test
30;test
31;test
32;test
33;test
34;test
35;test
36;test
37;test
38;test
39;test
40;train
41;train
42;test
43;train
44;test
45;test
46;test
47;test
48;test
49;test
50;test
51;test
52;test
53;test
54;test
55;test
56;test
57;test
58;test
59;test
60;test
61;test
62;train
63;test
64;test
65;test
66;test
67;test
68;test
69;test
70;test
71;train
72;train
73;test
74;test
75;test
76;test
77;test
78;train
79;test
80;test
81;test
82;test
83;test
84;test
85;test
86;test
87;test
88;test
89;test
90;test
91;test
92;test
93;test
94;test
95;test
96;test
97;test
98;test
99;test
100;test
101;test
102;test
103;test
104;test
105;test
106;test
107;test
108;test
109;test
110;test
111;test
112;test
113;test
114;train
115;test
116;train
117;train
118;train
119;test
120;test
121;test
122;test
123;train
124;train
125;train
126;train
127;train
128;train
129;train
130;train
131;train
132;train
133;train
134;train
135;train
136;train
137;train
138;train
139;train
140;train
141;train
142;train
143;train
144;train
145;train
146;train
147;train
148;train
149;train
150;train
151;train
152;train
153;train
154;train
155;train
156;train
157;train
158;train
159;train
160;train
161;test
162;test
163;train
164;train
165;train
166;train
167;train
168;train
169;train
170;train
171;train
172;train
173;train
174;train
175;train
176;train
177;train
178;train
179;train
180;train
181;train
182;train
183;train
184;train
185;train
186;train
187;train
188;train
189;test
190;train
191;train
192;train
193;train
194;train
195;train
196;test
197;test
198;test
199;test
200;test
201;train
202;test
203;test
204;test
205;train
206;train
207;train
208;train
209;train
210;train
211;train
212;train
213;train
214;test
215;test
216;test
217;test
218;test
219;test
220;test
221;test
222;test
223;test
224;test
225;test
226;test
227;test
228;test
229;train
230;train
231;train
232;train
233;train
234;train
235;train
236;test
237;test
238;test
239;test
240;test
241;test
242;train
243;test
244;test
245;test
246;train
247;train
248;train
249;train
250;train
251;train
252;train
253;train
254;train
255;train
256;train
257;train
258;train
259;train
260;train
261;train
262;train
263;train
264;train
265;train
266;train
267;train
268;train
269;train
270;train
271;train
