SMILES_acc;SMILES_don;HOMO_A;HOMO_D;LUMO_A;LUMO_D;Voc;Jsc;FF;PCE;delta_HOMO;delta_LUMO
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15;CCCCC(CC)COCc3c1cc(C)sc1c(OCC(CC)CCCC)c4cc(/C2=C/C(C(=O)OC)/C=C(C)\S2)sc34;5.69;5.43;4.11;3.37;0.3565800782684419;-2.3541006153779884;-3.407881775708192;-2.247299218357974;0.408026918528981;0.8813698515056481
CCCCCCc%15ccc(C%14(c1ccc(CCCCCC)cc1)Cc9cc8/C5=C(C4SC(C=c3c(=O)c2ccccc2c3=C(C#N)C#N)CC4S5)\C(c6ccc(CCCCCC)cc6)(c7ccc(CCCCCC)cc7)c8cc9c%13sc%12cc(C=c%11c(=O)c%10ccccc%10c%11=C(C#N)C#N)sc%12c%13%14)cc%15;CCCCC(CC)COCc3c1cc(C)sc1c(OCC(CC)CCCC)c4cc(/C2=C/C(C(=O)OC)/C=C(C)\S2)sc34;5.69;5.43;4.11;3.37;0.3565800782684419;-2.268016965172395;-3.372222978884002;-2.207736474941884;0.408026918528981;0.8813698515056481
CCc1c(/C=C2\C(=O)c3cc(Cl)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(F)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21;CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1;5.74;5.46;3.96;3.7;-0.655307818169389;0.6687598706876594;0.6890248540115758;0.5449975669565614;0.5450761129615915;-0.8664454325714037
CCc1c(/C=C2\C(=O)c3cc(F)c(F)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC)c4c3n(CC)c21;CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1;5.7;5.46;3.91;3.7;-0.655307818169389;0.2995934476905955;0.3083431041317099;0.0869026431913131;0.2709777240963644;-1.0485095246627625
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc4c5c(sc34)c6c(CN5CC(CC)CCCC)c%12c(c7nsnc67)c%11sc%10c(CCCCCCCCCCC)c(C=c9c(=O)c8cc(CF)c(F)cc8c9=C(C#N)C#N)sc%10c%11n%12CC(CC)CCCC;CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1;5.65;5.46;4.05;3.47;-0.6328214204707705;0.5313571213210393;0.3642406775317913;0.2847163602717614;-0.071645261985168;0.2987647568132959
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc4c5c(sc34)c6c(CN5CC(CC)CCCC)c%12c(c7nsnc67)c%11sc%10c(CCCCCCCCCCC)c(C=c9c(=O)c8cc(CF)c(F)cc8c9=C(C#N)C#N)sc%10c%11n%12CC(CC)CCCC;CCc1cc(-c2cc3c(-c4cc(Cl)c(CC)s4)c4sc(-c5cc(CC)c(-c6cc(CC)c(-c7ccc(/C=C8/SC(=S)N(CC)C8=O)s7)s6)s5)cc4c(-c4cc(Cl)c(CC)s4)c3s2)sc1-c1cc(CC)c(-c2ccc(/C=C3\SC(=S)N(CC)C3=O)s2)s1;5.65;5.46;4.05;3.47;-0.4529302388818228;0.5363234857559775;0.6263810217528631;0.4846123270056877;-0.071645261985168;0.2987647568132959
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc4c5c(sc34)c6c(CN5CC(CC)CCCC)c%12c(c7nsnc67)c%11sc%10c(CCCCCCCCCCC)c(C=c9c(=O)c8cc(CF)c(F)cc8c9=C(C#N)C#N)sc%10c%11n%12CC(CC)CCCC;CCCCCCC(CCCC)Cc%16cc(c%15cc%14c1nsnc1c%13cc(c%12cc(CC(CCCC)CCCCCC)c(c%11cc%10c(c2cc(F)c(CC(CC)CCCC)s2)c8sc(c7ccc(c5sc(c3ccc(C)s3)c6c(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4c(=O)c56)s7)cc8c(c9cc(F)c(CC(CC)CCCC)s9)c%10s%11)s%12)sc%13c%14s%15)sc%16c%21cc%20c(c%17cc(F)c(CC(CC)CCCC)s%17)c%18sc(C)cc%18c(c%19cc(F)c(CC(CC)CCCC)s%19)c%20s%21;5.67;5.51;3.93;2.77;-0.5766054262242244;0.9203890020578562;0.6495110521253115;0.7282355364626605;-0.2772190536340899;2.410708225073067
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc4c5c(sc34)c6c(CN5CC(CC)CCCC)c%12c(c7nsnc67)c%11sc%10c(CCCCCCCCCCC)c(C=c9c(=O)c8cc(CF)c(F)cc8c9=C(C#N)C#N)sc%10c%11n%12CC(CC)CCCC;CCCCCCC(CCCC)Cc%16cc(c%15cc%14c1nsnc1c%13cc(c%12cc(CC(CCCC)CCCCCC)c(c%11cc%10c(c2cc(F)c(CC(CC)CCCC)s2)c8sc(c7ccc(c5sc(c3ccc(C)s3)c6c(=O)c4c(CC(CC)CCCC)sc(CC(CC)CCCC)c4c(=O)c56)s7)cc8c(c9cc(F)c(CC(CC)CCCC)s9)c%10s%11)s%12)sc%13c%14s%15)sc%16c%21cc%20c(c%17cc(F)c(CC(CC)CCCC)s%17)c%18sc(C)cc%18c(c%19cc(F)c(CC(CC)CCCC)s%19)c%20s%21;5.77;5.51;3.97;2.77;-0.1156342734025458;1.107455395773857;0.848043812822153;1.1717547126535597;0.4080269185289749;2.556359498746154
CCCCCCCCCCCc3c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc4c5c(sc34)c6c(CN5CC(CC)CCCC)c%12c(c7nsnc67)c%11sc%10c(CCCCCCCCCCC)c(C=c9c(=O)c8cc(CF)c(F)cc8c9=C(C#N)C#N)sc%10c%11n%12CC(CC)CCCC;CCCCCCC(CCCC)Cc%11cc(c%10cc9c1nsnc1c8cc(c7cc(CC(CCCC)CCCCCC)c(c6cc5c(C2CC(Cl)C(CC(CC)CCCC)S2)c3sc(C)cc3c(c4cc(Cl)c(CC(CC)CCCC)s4)c5s6)s7)sc8c9s%10)sc%11C;5.68;5.51;3.89;2.77;0.3790664759670604;0.993229013770281;1.0215190406155092;1.3320879359713964;-0.2086944564177846;2.265056951399979
CCCCCCC(CCC)Cc3c(/C=C/2C(=O)C1/C=C(F)\C(F)=C/C1C2=C(C#N)\C#N)sc%12c3sc%13c%11c5nc4cc(F)c(F)cc4nc5c%10c9sc8c(CC(CCCC)CCCCCC)c(C=c7c(=O)c6cc(F)c(F)cc6c7=C(C#N)C#N)sc8c9n(CC(CCCC)CCCCCC)c%10c%11n(CC(CCCC)CCCCCC)c%12%13;CCCCCCCCCCCc9c(C=c2c(=O)c1cc(F)c(F)cc1c2=C(C#N)C#N)sc%10c(Cc3c(C(C)C)cc(C(C)C)cc3C(C)C)c(c7sc6c(CCCCCCCCCCC)c(C=c5c(=O)c4cc(F)c(F)cc4c5=C(C#N)C#N)sc6c7c8c(C(C)C)cc(C(C)C)cc8C(C)C)sc9%10;5.66;5.51;3.8;2.77;-0.5428758296762967;0.0876952317999036;0.6042147426459352;0.0723268956169642;-0.3457436508503951;1.9373415856355312
