HOMO_A;LUMO_A;EgCV_A;λ_A_absorption;EgA_opt;HOMO_D;LUMO_D;EgCV_D;λ_D_absorption;EgD_opt
5.69;4.11;1.58;800.0;1.55;5.43;3.37;2.06;625.0;1.98
5.69;4.11;1.58;800.0;1.55;5.43;3.37;2.06;625.0;1.98
5.69;4.11;1.58;800.0;1.55;5.42;3.4;2.02;635.0;1.95
5.69;4.11;1.58;800.0;1.55;5.42;3.4;2.02;635.0;1.95
5.69;4.11;1.58;800.0;1.55;5.42;3.4;2.02;635.0;1.95
5.69;4.11;1.58;800.0;1.55;5.42;3.4;2.02;635.0;1.95
5.69;4.11;1.58;800.0;1.55;5.42;3.4;2.02;635.0;1.95
5.7;4.08;1.62;930.0;1.33;5.59;3.61;1.98;640.0;1.94
5.74;3.96;1.78;933.7;1.33;5.46;3.7;1.76;700.0;1.77
5.7;3.91;1.79;934.7;1.33;5.46;3.7;1.76;700.0;1.77
5.65;4.05;1.6;910.0;1.36;5.46;3.47;1.99;700.0;1.77
5.65;4.05;1.6;910.0;1.36;5.46;3.47;1.99;700.0;1.77
5.86;3.98;1.88;817.0;1.52;5.51;2.77;2.74;627.0;1.98
5.67;3.93;1.74;892.0;1.39;5.51;2.77;2.74;627.0;1.98
5.65;4.1;1.55;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.65;4.1;1.55;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.65;4.1;1.55;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.67;3.9;1.77;800.0;1.55;5.51;2.77;2.74;627.0;1.98
5.67;3.9;1.77;800.0;1.55;5.51;2.77;2.74;627.0;1.98
5.77;3.97;1.8;950.0;1.31;5.51;2.77;2.74;627.0;1.98
5.68;3.89;1.79;900.0;1.38;5.51;2.77;2.74;627.0;1.98
5.74;3.88;1.86;885.0;1.4;5.47;2.71;2.76;627.0;1.98
5.71;3.86;1.85;885.0;1.4;5.47;2.71;2.76;627.0;1.98
5.46;3.96;1.5;866.0;1.43;5.11;3.16;2.54;627.0;1.98
5.68;3.96;1.72;890.0;1.39;5.11;3.16;1.75;627.0;1.98
5.68;3.9;1.78;900.0;1.38;5.51;3.77;1.74;640.0;1.94
5.7;4.1;1.6;910.0;1.36;5.47;2.71;2.76;627.0;1.98
5.7;4.1;1.6;910.0;1.36;5.47;2.71;2.76;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.47;2.71;2.76;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.47;2.71;2.76;627.0;1.98
5.47;3.76;1.71;912.0;1.36;5.11;3.16;1.95;627.0;1.98
5.68;3.91;1.77;905.0;1.37;5.63;3.56;2.07;626.0;1.98
5.68;3.91;1.77;900.0;1.38;5.63;3.56;2.07;626.0;1.98
5.68;3.91;1.77;890.0;1.39;5.63;3.56;2.07;626.0;1.98
5.72;4.06;1.66;912.0;1.36;5.47;2.71;2.76;627.0;1.98
5.72;4.06;1.66;912.0;1.36;5.47;2.71;2.76;627.0;1.98
5.64;4.07;1.57;900.0;1.38;5.48;3.65;1.83;627.0;1.98
5.64;4.07;1.57;900.0;1.38;5.48;3.65;1.83;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.47;2.71;2.76;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.47;2.71;2.76;627.0;1.98
5.67;3.84;1.44;861.0;1.44;5.51;2.77;1.74;625.0;1.98
5.66;3.8;1.44;861.0;1.44;5.51;2.77;1.74;625.0;1.98
5.67;3.93;1.38;900.0;1.38;5.51;2.77;1.74;625.0;1.98
5.62;3.64;1.65;750.0;1.65;5.51;2.77;1.74;625.0;1.98
5.65;4.1;1.55;912.0;1.36;5.3;2.78;2.52;627.0;1.98
5.74;3.78;1.96;825.0;1.5;5.25;2.88;2.37;627.0;1.98
5.78;3.69;2.09;846.0;1.47;5.25;2.88;2.37;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.57;3.57;2.0;627.0;1.98
5.55;3.98;1.57;867.0;1.43;5.44;3.47;1.97;627.0;1.98
5.55;3.98;1.57;867.0;1.43;5.44;3.47;1.97;627.0;1.98
5.65;3.63;2.02;950.0;1.31;5.63;3.56;2.07;627.0;1.98
5.55;3.98;1.57;867.0;1.43;5.63;3.56;2.07;627.0;1.98
5.68;3.9;1.78;900.0;1.38;5.63;3.56;2.07;627.0;1.98
5.79;3.85;1.94;920.0;1.35;5.48;2.73;2.75;627.0;1.98
5.78;3.82;1.96;908.0;1.37;5.48;2.73;2.75;627.0;1.98
5.68;3.92;1.76;900.0;1.38;5.44;3.47;1.97;627.0;1.98
5.37;4.02;1.35;917.0;1.35;5.11;3.16;1.95;627.0;1.98
5.35;3.97;1.4;897.0;1.38;5.11;3.16;1.95;627.0;1.98
5.6;3.78;1.82;912.0;1.36;5.63;3.56;2.07;627.0;1.98
5.6;3.78;1.82;912.0;1.36;5.63;3.56;2.07;627.0;1.98
5.63;4.1;1.53;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.76;3.89;1.87;935.0;1.32;5.51;2.77;2.74;627.0;1.98
5.78;3.88;1.9;915.0;1.35;5.51;2.77;2.74;627.0;1.98
5.68;4.06;1.62;915.0;1.36;5.51;2.77;2.74;627.0;1.98
5.8;3.86;1.94;900.0;1.38;5.51;2.77;2.74;627.0;1.98
5.74;4.11;1.63;800.0;1.55;5.51;2.77;2.74;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.51;2.77;2.74;627.0;1.98
5.52;4.1;1.42;905.0;1.37;5.68;3.9;1.78;627.0;1.98
5.52;4.1;1.42;905.0;1.37;5.68;3.9;1.78;627.0;1.98
5.51;4.0;1.51;929.0;1.33;5.45;3.53;1.92;627.0;1.98
5.49;4.02;1.47;930.0;1.33;5.45;3.53;1.92;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.62;3.88;1.74;902.0;1.37;5.25;2.88;2.37;627.0;1.98
5.65;3.9;1.75;898.0;1.38;5.25;2.88;2.37;627.0;1.98
5.6;3.86;1.74;905.0;1.37;5.25;2.88;2.37;627.0;1.98
5.57;3.84;1.7;910.0;1.36;5.25;2.88;2.37;627.0;1.98
5.72;3.94;1.78;880.0;1.41;5.25;2.88;2.37;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;915.0;1.36;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.53;3.54;1.99;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.53;3.54;1.99;627.0;1.98
5.7;3.87;1.83;923.0;1.34;5.47;3.52;1.95;631.0;1.97
5.67;3.9;1.77;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.67;3.9;1.77;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.67;3.9;1.77;910.0;1.36;5.51;2.77;2.74;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.25;2.88;2.37;627.0;1.98
5.58;4.17;1.41;910.0;1.36;5.51;3.54;1.97;627.0;1.98
5.65;4.1;1.55;910.0;1.36;5.51;3.54;1.97;627.0;1.98
5.65;4.1;1.55;910.0;1.36;5.51;3.54;1.97;627.0;1.98
5.67;3.93;1.74;892.0;1.39;5.51;3.54;1.97;627.0;1.98
5.67;3.93;1.74;892.0;1.39;5.51;3.54;1.97;627.0;1.98
5.58;4.17;1.41;910.0;1.36;5.51;3.54;1.97;627.0;1.98
5.58;4.17;1.41;910.0;1.36;5.51;3.54;1.97;627.0;1.98
5.58;4.17;1.41;910.0;1.36;5.51;3.54;1.97;627.0;1.98
5.58;4.17;1.41;910.0;1.36;5.51;3.54;1.97;627.0;1.98
5.68;3.9;1.78;910.0;1.36;5.53;3.54;1.99;633.0;1.96
5.68;3.9;1.78;910.0;1.36;5.53;3.54;1.99;635.0;1.95
5.68;3.9;1.78;910.0;1.36;5.53;3.54;1.99;640.0;1.94
5.68;3.9;1.78;910.0;1.36;5.53;3.54;1.99;630.0;1.97
5.68;3.9;1.78;910.0;1.36;5.53;3.54;1.99;627.0;1.98
5.68;3.9;1.78;890.0;1.39;5.57;3.57;2.0;627.0;1.98
5.65;3.8;1.85;898.0;1.38;5.57;3.57;2.0;627.0;1.98
5.7;4.3;1.4;949.0;1.3;5.2;3.3;1.9;627.0;1.98
5.7;4.3;1.4;949.0;1.3;5.2;3.3;1.9;627.0;1.98
5.6;4.2;1.4;925.0;1.34;5.2;3.3;1.9;627.0;1.98
5.6;4.2;1.4;925.0;1.34;5.2;3.3;1.9;627.0;1.98
5.7;4.13;1.57;915.0;1.355;5.52;3.66;1.86;640.0;1.94
5.63;4.1;1.53;910.0;1.36;5.52;3.58;1.94;625.0;1.98
5.74;3.92;1.82;886.0;1.4;5.5;3.46;2.04;627.0;1.98
5.69;3.88;1.81;886.0;1.4;5.5;3.46;2.04;627.0;1.98
5.74;3.97;1.77;910.0;1.36;5.43;3.54;1.89;680.0;1.82
5.7;4.33;1.37;923.0;1.34;5.51;2.77;2.74;627.0;1.98
5.85;3.93;1.92;900.0;1.38;5.57;3.57;2.0;627.0;1.98
5.68;3.9;1.78;907.0;1.37;5.51;3.77;1.74;650.0;1.91
5.67;3.9;1.77;800.0;1.55;5.51;2.77;2.74;627.0;1.98
5.72;3.89;1.83;910.0;1.36;5.57;3.48;2.09;630.0;1.97
5.72;3.89;1.83;900.0;1.38;5.57;3.48;2.09;630.0;1.97
5.72;3.89;1.83;900.0;1.38;5.57;3.48;2.09;630.0;1.97
5.53;4.1;1.43;910.0;1.36;5.57;3.48;2.09;627.0;1.98
5.53;4.1;1.43;910.0;1.36;5.57;3.48;2.09;627.0;1.98
5.7;4.33;1.37;950.0;1.305;5.57;3.48;2.09;627.0;1.98
5.7;4.33;1.37;920.0;1.35;5.57;3.48;2.09;627.0;1.98
5.57;3.82;1.75;920.0;1.35;5.5;3.4;2.1;650.0;1.91
5.74;3.89;1.85;892.0;1.39;5.57;3.48;2.09;627.0;1.98
5.74;3.89;1.85;892.0;1.39;5.57;3.48;2.09;627.0;1.98
5.74;3.89;1.85;892.0;1.39;5.57;3.48;2.09;627.0;1.98
5.68;3.91;1.77;887.0;1.4;5.57;3.48;2.09;627.0;1.98
5.68;3.91;1.77;887.0;1.4;5.57;3.48;2.09;627.0;1.98
5.68;3.91;1.77;887.0;1.4;5.57;3.48;2.09;627.0;1.98
