;Voc;Jsc;FF;PCE;Mean
scaled_delta_lambda;0.05954278721911806;0.15879168889506537;0.28470130205498373;0.39897887572308993;0.22550366347306428
scaled_λ_A_absorption;0.15864686274458797;0.44160946454411204;0.06934700427098196;0.10725243701481896;0.19421394214362525
scaled_HOMO_D_LUMO_A;0.25156376854615325;0.021828014270420828;0.04864776869650572;0.027209958461386425;0.08731237749361655
scaled_HOMO_D;0.03618619006761239;0.06734895718174172;0.09320828652758754;0.1054096428388033;0.07553826915393624
scaled_HOMO_A;0.039608895633762006;0.043307961282809525;0.07166368291831465;0.05755286582649675;0.05303335141534573
scaled_delta_HOMO;0.05572288298566945;0.04010930893980284;0.06086564319985914;0.05460326673730202;0.052825275465658364
scaled_LUMO_A;0.0557040020575695;0.03826262268277405;0.05764655195869515;0.03611776650696934;0.04693273580150201
scaled_EgA_opt;0.06779076380103495;0.03401631986910212;0.04475813505292115;0.03300223764404103;0.044891864091774814
scaled_λ_D_absorption;0.07931229292910608;0.019995557587004376;0.037224221433265196;0.03013129583265395;0.0416658419455074
scaled_EgCV_A;0.040627572021992936;0.030070008010637084;0.040806612900379374;0.032035863997860486;0.03588501423271747
scaled_delta_LUMO;0.03322562754162499;0.025344279039220652;0.04380458937221917;0.02608065788760981;0.03211378846016865
scaled_LUMO_D;0.026101096236012596;0.024617390275719547;0.036918140797257276;0.02649763568379865;0.028533565748197015
scaled_delta_Eg;0.02675371090246394;0.022109380050015913;0.03919097666731585;0.02353767841192811;0.027897936507930952
scaled_EgD_opt;0.04686223170922801;0.013933701591320185;0.028677548153342187;0.019721656961548786;0.02729878460385979
scaled_EgCV_D;0.022351315604063726;0.018655345780253692;0.04253953599637197;0.021868160471692648;0.02635358946309551
