;set
0;train
1;train
2;train
3;train
4;train
5;train
6;train
7;test
8;test
9;test
10;test
11;test
12;test
13;train
14;train
15;train
16;train
17;test
18;test
19;train
20;test
21;test
22;test
23;test
24;test
25;test
26;test
27;test
28;test
29;test
30;test
31;test
32;test
33;test
34;test
35;test
36;test
37;test
38;test
39;test
40;train
41;train
42;test
43;test
44;test
45;test
46;test
47;test
48;test
49;test
50;test
51;test
52;test
53;test
54;test
55;test
56;test
57;test
58;test
59;test
60;test
61;test
62;train
63;test
64;test
65;test
66;test
67;test
68;test
69;test
70;test
71;train
72;train
73;test
74;test
75;test
76;test
77;test
78;train
79;test
80;test
81;test
82;test
83;test
84;test
85;test
86;test
87;test
88;test
89;train
90;test
91;test
92;test
93;test
94;test
95;test
96;test
97;test
98;test
99;test
100;test
101;test
102;test
103;test
104;test
105;test
106;test
107;test
108;test
109;test
110;test
111;test
112;test
113;test
114;train
115;test
116;test
117;test
118;test
119;test
120;test
121;test
122;test
123;test
124;test
125;test
126;test
127;test
128;test
129;test
130;test
131;test
132;test
133;test
134;test
135;test
136;test
137;test
138;test
139;test
140;test
141;test
142;test
143;test
144;test
145;test
146;test
147;test
148;test
149;test
150;test
151;train
152;train
153;train
154;train
155;test
156;test
157;test
158;test
159;test
160;test
161;test
162;test
163;train
164;train
165;train
166;train
167;train
168;train
169;train
170;train
171;train
172;train
173;train
174;train
175;train
176;train
177;train
178;train
179;train
180;train
181;train
182;train
183;train
184;train
185;train
186;train
187;train
188;train
189;test
190;train
191;train
192;test
193;test
194;train
195;train
196;test
197;test
198;test
199;test
200;test
201;train
202;test
203;test
204;test
205;train
206;train
207;train
208;test
209;test
210;test
211;train
212;train
213;train
214;train
215;train
216;train
217;train
218;train
219;train
220;train
221;train
222;train
223;train
224;train
225;train
226;train
227;train
228;train
229;train
230;train
231;train
232;train
233;train
234;train
235;train
236;train
237;train
238;train
239;train
240;train
241;train
242;train
243;train
244;train
245;train
246;train
247;train
248;train
249;train
250;train
251;train
252;train
253;test
254;train
255;train
256;train
257;train
258;train
259;train
260;train
261;train
262;train
263;train
264;train
265;train
266;train
267;train
268;train
269;train
270;train
271;train
